2066000	10.707031	640	61.308594	448	2064	768	91	0.6875	12	30809700	650.707031	509.308594																																																																																																																										
2067000	7.296875	640	57.597656	448	2065	768	91	0.6875	12	30810700	647.296875	505.597656																																																																																																																										
2068000	3.542969	640	53.515625	448	2066	768	91	0.6875	12	30811700	643.542969	501.515625																																																																																																																										
2069000	63.820313	576	49.410156	448	2067	768	91	0.6875	12	30812700	639.820313	497.410156																																																																																																																										
2070000	60.300781	576	45.601563	448	2068	768	91	0.6875	12	30813700	636.300781	493.601563																																																																																																																										
2071000	56.300781	576	41.1875	448	2069	768	91	0.6875	12	30814700	632.300781	489.1875																																																																																																																										
2072000	52.933594	576	37.476563	448	2070	768	91	0.6875	12	30815700	628.933594	485.476563																																																																																																																										
2073000	48.96875	576	33.121094	448	2071	768	91	0.6875	12	30816700	624.96875	481.121094																																																																																																																										
2074000	45.527344	576	29.3125	448	2072	768	91	0.6875	12	30817700	621.527344	477.3125																																																																																																																										
2075000	41.847656	576	25.253906	448	2073	768	91	0.6875	12	30818700	617.847656	473.253906																																																																																																																										
2076000	37.960938	576	21.046875	448	2074	768	91	0.6875	12	30819700	613.960938	469.046875																																																																																																																										
2077000	34.496094	576	17.230469	448	2075	768	91	0.6875	12	30820700	610.496094	465.230469																																																																																																																										
2078000	30.410156	576	12.734375	448	2076	768	91	0.6875	12	30821700	606.410156	460.734375																																																																																																																										
2079000	27.019531	576	8.96875	448	2077	768	91	0.6875	12	30822700	603.019531	456.96875																																																																																																																										
2080000	23.164063	576	4.597656	448	2078	768	91	0.6875	12	30823700	599.164063	452.597656																																																																																																																										
2081000	19.632813	576	0.597656	448	2079	768	91	0.6875	12	30824700	595.632813	448.597656																																																																																																																										
2082000	16.023438	576	60.554688	384	2080	768	91	0.6875	12	30825700	592.023438	444.554688																																																																																																																										
2083000	12.113281	576	56.199219	384	2081	768	91	0.6875	12	30826700	588.113281	440.199219																																																																																																																										
2084000	8.804688	576	52.351563	384	2082	768	91	0.6875	12	30827700	584.804688	436.351563																																																																																																																										
2085000	4.78125	576	47.804688	384	2083	768	91	0.6875	12	30828700	580.78125	431.804688																																																																																																																										
2086000	1.417969	576	44.054688	384	2084	768	91	0.6875	12	30829700	577.417969	428.054688																																																																																																																										
2087000	61.5625	512	39.789063	384	2085	768	91	0.6875	12	30830700	573.5625	423.789063																																																																																																																										
2088000	57.929688	512	35.789063	384	2086	768	91	0.6875	12	30831700	569.929688	419.789063																																																																																																																										
2089000	54.339844	512	31.855469	384	2087	768	91	0.6875	12	30832700	566.339844	415.855469																																																																																																																										
2090000	50.320313	512	27.519531	384	2088	768	91	0.6875	12	30833700	562.320313	411.519531																																																																																																																										
2091000	46.875	512	23.816406	384	2089	768	91	0.6875	12	30834700	558.875	407.816406																																																																																																																										
2092000	42.753906	512	19.4375	384	2090	768	91	0.6875	12	30835700	554.753906	403.4375																																																																																																																										
2093000	39.289063	512	15.773438	384	2091	768	91	0.6875	12	30836700	551.289063	399.773438																																																																																																																										
2094000	35.402344	512	11.667969	384	2092	768	91	0.6875	12	30837700	547.402344	395.667969																																																																																																																										
2095000	31.679688	512	7.765625	384	2093	768	91	0.6875	12	30838700	543.679688	391.765625																																																																																																																										
2096000	28.046875	512	3.914063	384	2094	768	91	0.6875	12	30839700	540.046875	387.914063																																																																																																																										
2097000	24.015625	512	63.652344	320	2095	768	91	0.6875	12	30840700	536.015625	383.652344																																																																																																																										
2098000	20.515625	512	60	320	2096	768	91	0.75	12	30841700	532.515625	380																																																																																																																										
2099000	16.429688	512	55.667969	320	2097	768	91	0.6875	12	30842700	528.429688	375.667969																																																																																																																										
2100000	12.996094	512	52.023438	320	2098	768	91	0.6875	12	30843700	524.996094	372.023438																																																																																																																										
2101000	9.164063	512	47.941406	320	2099	768	91	0.6875	12	30844700	521.164063	367.941406																																																																																																																										
2102000	5.410156	512	43.976563	320	2100	768	91	0.6875	12	30845700	517.410156	363.976563																																																																																																																										
2103000	1.824219	512	40.164063	320	2101	768	91	0.6875	12	30846700	513.824219	360.164063																																																																																																																										
2104000	61.78125	448	35.769531	320	2102	768	91	0.6875	12	30847700	509.78125	355.769531																																																																																																																										
2105000	58.390625	448	32.042969	320	2103	768	91	0.6875	12	30848700	506.390625	352.042969																																																																																																																										
2106000	54.390625	448	27.570313	320	2104	768	91	0.6875	12	30849700	502.390625	347.570313																																																																																																																										
2107000	50.992188	448	23.8125	320	2105	768	91	0.6875	12	30850700	498.992188	343.8125																																																																																																																										
2108000	47.328125	448	19.605469	320	2106	768	91	0.6875	12	30851700	495.328125	339.605469																																																																																																																										
2109000	43.640625	448	15.359375	320	2107	768	91	0.6875	12	30852700	491.640625	335.359375																																																																																																																										
2110000	40.230469	448	11.382813	320	2108	768	91	0.6875	12	30853700	488.230469	331.382813																																																																																																																										
2111000	36.285156	448	6.824219	320	2109	768	91	0.6875	12	30854700	484.285156	326.824219																																																																																																																										
2112000	33.007813	448	3.054688	320	2110	768	91	0.6875	12	30855700	481.007813	323.054688																																																																																																																										
2113000	29.144531	448	62.667969	256	2111	768	91	0.6875	12	30856700	477.144531	318.667969																																																																																																																										
2114000	25.699219	448	58.847656	256	2112	768	91	0.6875	12	30857700	473.699219	314.847656																																																																																																																										
2115000	22.035156	448	54.789063	256	2113	768	91	0.6875	12	30858700	470.035156	310.789063																																																																																																																										
2116000	18.226563	448	50.558594	256	2114	768	91	0.6875	12	30859700	466.226563	306.558594																																																																																																																										
2117000	14.757813	448	46.726563	256	2115	768	91	0.6875	12	30860700	462.757813	302.726563																																																																																																																										
2118000	10.738281	448	42.207031	256	2116	768	91	0.6875	12	30861700	458.738281	298.207031																																																																																																																										
2119000	7.40625	448	38.4375	256	2117	768	91	0.6875	12	30862700	455.40625	294.4375																																																																																																																										
2120000	3.5625	448	34	256	2118	768	91	0.6875	12	30863700	451.5625	290																																																																																																																										
2121000	0.128906	448	30.042969	256	2119	768	91	0.6875	12	30864700	448.128906	286.042969																																																																																																																										
2122000	60.574219	384	25.902344	256	2120	768	91	0.6875	12	30865700	444.574219	281.902344																																																																																																																										
2123000	56.789063	384	21.488281	256	2121	768	91	0.6875	12	30866700	440.789063	277.488281																																																																																																																										
2124000	53.453125	384	17.597656	256	2122	768	91	0.6875	12	30867700	437.453125	273.597656																																																																																																																										
2125000	49.488281	384	12.980469	256	2123	768	91	0.6875	12	30868700	433.488281	268.980469																																																																																																																										
2126000	46.234375	384	9.21875	256	2124	768	91	0.6875	12	30869700	430.234375	265.21875																																																																																																																										
2127000	42.414063	384	4.832031	256	2125	768	91	0.6875	12	30870700	426.414063	260.832031																																																																																																																										
2128000	38.859375	384	0.816406	256	2126	768	91	0.75	12	30871700	422.859375	256.816406																																																																																																																										
2129000	35.304688	384	60.808594	192	2127	768	91	0.75	12	30872700	419.304688	252.808594																																																																																																																										
2130000	31.351563	384	56.445313	192	2128	768	91	0.75	12	30873700	415.351563	248.445313																																																																																																																										
2131000	27.941406	384	52.691406	192	2129	768	91	0.75	12	30874700	411.941406	244.691406																																																																																																																										
2132000	23.851563	384	48.253906	192	2130	768	91	0.75	12	30875700	407.851563	240.253906																																																																																																																										
2133000	20.417969	384	44.527344	192	2131	768	91	0.75	12	30876700	404.417969	236.527344																																																																																																																										
2134000	16.609375	384	40.355469	192	2132	768	91	0.75	12	30877700	400.609375	232.355469																																																																																																																										
2135000	12.886719	384	36.320313	192	2133	768	91	0.75	12	30878700	396.886719	228.320313																																																																																																																										
2136000	9.3125	384	32.394531	192	2134	768	91	0.75	12	30879700	393.3125	224.394531																																																																																																																										
